id;nombre_equipo;grupo_uso_corto;espacio_exterior ;espacio_cocina;espacio_banho;espacio_dormitorio;espacio_living;descripcion;energia_base_id;grupo_uso_id;cantidad_promedio;horas_uso_tipo;potencia_equipo;eficiencia_equipo;promedio_energia_anual;fuente;etiqueta;subtitulo
1;Ampolleta LED;Iluminación;0;1;1;1;1;"1.- Reemplazar luminarias existentes por tecnología LED. Las luminarias LED se caracterizan por un menor consumo energético y una vida útil significativamente más prolongada en comparación con las lámparas fluorescentes tradicionales. En este sentido. se recomienda la conversión a tecnología LED para optimizar el rendimiento lumínico y reducir el impacto ambiental.

DATO: Las ampolletas LED pueden tener 15000 horas de vida útil y el menor consumo comparado. pudiendo ahorrar hasta un 87% respecto a la incandescentes.

2.- Instalar sensores de luz natural para control de iluminación interior. Instalar controladores de iluminación mediante fotoceldas (automatizan el encendido y apagado en función de la iluminación natural con la que cuente el recinto). Este control permite reducir el tiempo de encendido de la luz artificial. cuando la luz natural es capaz de iluminar adecuadamente el espacio. Las metodologías de control se pueden aplicar a cualquier espacio de un edificio con luz natural. Las luces pueden ser ajustadas de forma gradual o bien encendido o apagado.

3.- Instalar sistemas de sensor de detección de movimientos. Estos sensores detectan movimiento. con el cual automáticamente encienden las luces. mantienen encendida la iluminación mientras se encuentra el espacio ocupado. y las apagan cuando el recinto queda sin ocupantes.";6;1;13;15.8;13;1;146.19345;;1;16% del consumo eléctrico en los hogares corresponde a iluminación.Una vivienda en el país posee en promedio. 13.2 luminarias y se utilizan en promedio por 15.8 horas diarias. con al menos una ampolleta encendida
2;Ampolleta Halógena;Iluminación;0;1;1;1;1;"1.- Reemplazar luminarias existentes por tecnología LED. Las luminarias LED se caracterizan por un menor consumo energético y una vida útil significativamente más prolongada en comparación con las lámparas fluorescentes tradicionales. En este sentido. se recomienda la conversión a tecnología LED para optimizar el rendimiento lumínico y reducir el impacto ambiental.

DATO: Las ampolletas LED pueden tener 15000 horas de vida útil y el menor consumo comparado. pudiendo ahorrar hasta un 87% respecto a la incandescentes.

2.- Instalar sensores de luz natural para control de iluminación interior. Instalar controladores de iluminación mediante fotoceldas (automatizan el encendido y apagado en función de la iluminación natural con la que cuente el recinto). Este control permite reducir el tiempo de encendido de la luz artificial. cuando la luz natural es capaz de iluminar adecuadamente el espacio. Las metodologías de control se pueden aplicar a cualquier espacio de un edificio con luz natural. Las luces pueden ser ajustadas de forma gradual o bien encendido o apagado.

3.- Instalar sistemas de sensor de detección de movimientos. Estos sensores detectan movimiento. con el cual automáticamente encienden las luces. mantienen encendida la iluminación mientras se encuentra el espacio ocupado. y las apagan cuando el recinto queda sin ocupantes.";6;1;13;15.8;80;1;899.652;;1;16% del consumo eléctrico en los hogares corresponde a iluminación.Una vivienda en el país posee en promedio. 13.2 luminarias y se utilizan en promedio por 15.8 horas diarias. con al menos una ampolleta encendida
3;Ampolleta LFC;Iluminación;0;1;1;1;1;"1.- Reemplazar luminarias existentes por tecnología LED. Las luminarias LED se caracterizan por un menor consumo energético y una vida útil significativamente más prolongada en comparación con las lámparas fluorescentes tradicionales. En este sentido. se recomienda la conversión a tecnología LED para optimizar el rendimiento lumínico y reducir el impacto ambiental.

DATO: Las ampolletas LED pueden tener 15000 horas de vida útil y el menor consumo comparado. pudiendo ahorrar hasta un 87% respecto a la incandescentes.

2.- Instalar sensores de luz natural para control de iluminación interior. Instalar controladores de iluminación mediante fotoceldas (automatizan el encendido y apagado en función de la iluminación natural con la que cuente el recinto). Este control permite reducir el tiempo de encendido de la luz artificial. cuando la luz natural es capaz de iluminar adecuadamente el espacio. Las metodologías de control se pueden aplicar a cualquier espacio de un edificio con luz natural. Las luces pueden ser ajustadas de forma gradual o bien encendido o apagado.

3.- Instalar sistemas de sensor de detección de movimientos. Estos sensores detectan movimiento. con el cual automáticamente encienden las luces. mantienen encendida la iluminación mientras se encuentra el espacio ocupado. y las apagan cuando el recinto queda sin ocupantes.";6;1;13;15.8;20;1;224.913;;1;16% del consumo eléctrico en los hogares corresponde a iluminación.Una vivienda en el país posee en promedio. 13.2 luminarias y se utilizan en promedio por 15.8 horas diarias. con al menos una ampolleta encendida
4;Hervidor de agua;Electrodomésticos;0;1;0;0;0;"1.- Usar termo para almacenar el agua caliente. De esta formase evita usar el hervidor de aguas varias veces al dia.
2.- Desenchufar aparatos usando por ejemplo alargadores de tipo corta corriente o enchufe inteligente (certificados por la SEC). ";6;4;1;0.145205479;2000;1;106;;0;El 4% del consumo eléctrico de los hogares es atribuible al uso de hervidores de agua
5;Microondas;Cocina;0;1;0;0;0;"1.- Preferir artefactos con etiqueta de eficiencia energética. ​
2.- Elimine o desenchufe el artefacto no utilizado y reemplace el equipo antiguo por una versión más eficiente energéticamente. con el fin de reducir la densidad de potencia de carga por enchufe
3.- Elija la capacidad en función de su situación: uno de 20L es perfecto para parejas o solteros. mientras que uno de 40L es más cómodo para un uso familiar: un microondas de gran capacidad permite calentar varios alimentos simultáneamente.
4.- Es mucho más económico calentar un plato en el microondas que en el horno o en tu placa eléctrica. Si quieres calentar algo más grande. ocurre lo contrario: a un microondas le costará mucho más penetrar hasta el corazón del alimento para calentarlo. mientras que el calor de un horno lo alcanzará más fácilmente.
5.- Limpia el microondas con regularidad para eliminar los restos de comida";6;4;1;0.060273973;1500;1;33;;1;El 1% del consumo eléctrico de los hogares es atribuible al uso de microondas
6;Secador de Pelo;Electrodomésticos;0;0;1;0;0;Desenchufar aparatos usando por ejemplo alargadores de tipo corta corriente o enchufe inteligente (certificados por la SEC). ;6;5;1;0.054794521;1500;1;30;;1;
7;Plancha;Electrodomésticos;0;0;0;1;1;"1.- Preferir planchar cuando se acumulen varias prendas.
2.- Desenchufar aparatos usando por ejemplo alargadores de tipo corta corriente o enchufe inteligente (certificados por la SEC). ";6;5;1;0.175342466;1000;1;64;;0;La plancha es uno de los electrodomésticos con mayor potencia.
8;Lavadora;Electrodomésticos;0;1;1;0;0;"1.- Use su máquina sólo cuando esté llena. 
2.- Lavar a baja temperatura si es posible (20-30°C). De esta forma proteges tanto el medio ambiente como tu ropa. 
3.- No es necesario el prelavado.
4.- Selecciona el programa económico. aunque dure más. El programa rápido consume mucha más electricidad y agua.
5.- No aumente la dosis de detergente para ropa a bajas temperaturas. la ropa no quedará más limpia.
6.- Limpia periódicamente el cajón de la lavadora. así como los filtros y la junta del tambor. Esto extiende la vida útil de su máquina.";6;5;1;0.365296804;330;1;44;;1;El 1.6% del consumo eléctrico de los hogares es atribuible al uso delavadoras de ropa
9;Televisor;Electrodomésticos;0;1;0;1;1;"1.- Apague siempre su televisor por completo. La forma más sencilla es utilizar un interruptor de apagado o una regleta.
2.- Atenúe las luces de la habitación y reduzca el brillo de la pantalla.  Si se activa la función de ajuste automático del brillo de la pantalla a la luz ambiental. este equilibrio se realizará de forma automática.
3.- Desactive la función HDR (alto rango dinámico). Esta función acentúa los colores y los contrastes. Puede aumentar el consumo de electricidad en un 70% (CH).
4.- Apague la pantalla cuando escuche música a través de su televisor.";6;5;2;9.506849315;100;1;347;;1;El 16.3% del consumo eléctrico de los hogares es atribuible al uso de televisores. Apague completamente los dispositivos conectados a Internet o a la red WLAN. como módems. enrutadores. decodificadores de TV. televisores. impresoras y otros dispositivos inteligentes. Incluso en modo de espera. consumen mucha más energía que los dispositivos desconectados.
10;Computador;Electrodomésticos;0;0;0;1;1;"1.- Tómese el tiempo para familiarizarse con las funciones de sus dispositivos y habilite la configuración de ahorro de energía.
2.- Conecte todos sus dispositivos electrónicos de ocio (televisión. decodificador. DVD. sistema HiFi. videoconsola) en el mismo alargador equipado con un interruptor. Cuando no los estés usando. puedes apagarlos todos a la vez.p. ex. durante la noche o de vacaciones.
3.- Instale un alargador inteligente que pueda controlar y programar de forma remota a través de una aplicación. Este último también permite ver el consumo de los dispositivos conectados a la regleta.
4.- Equipe su estación de trabajo con la menor cantidad de pantallas posible. En un sistema informático. estos dispositivos consumen mucha energía.
5.- El consumo energético de una pantalla depende principalmente de su brillo. A menudo resulta útil reducir un poco el brillo de la pantalla y la iluminación de la habitación.
6.- Habilite las opciones de ahorro de energía. modo de suspensión o programación horaria que coincidan con sus hábitos de uso. Recuerda también desactivar funciones innecesarias.";6;5;2;3.6;90;1;67;;0;"Las tabletas y los teléfonos inteligentes consumen 10 veces menos electricidad que los portátiles. 
Una computadora portátil consume de tres a cuatro veces menos electricidad que una computadora de escritorio."
